,player_id,Player,pos,class
364,364,Raul Neto,PG,1
365,365,Georges Niang,PF,1
366,366,Zeke Nnaji,PF,1
367,367,Nerlens Noel,C,3
368,368,Jaylen Nowell,SG,1
369,369,Frank Ntilikina,PG,1
370,370,Kendrick Nunn,PG,1
371,371,James Nunnally,SF,1
372,372,Jusuf Nurkić,C,3
373,373,David Nwaba,SF,1
374,374,Jordan Nwora,SF,1
375,375,Royce O'Neale,SF,1
376,376,Semi Ojeleye,PF,1
377,377,Jahlil Okafor,C,3
378,378,Chuma Okeke,PF,1
379,379,Josh Okogie,SG,1
380,380,Onyeka Okongwu,C,3
381,381,Isaac Okoro,SG,1
382,382,KZ Okpala,PF,1
383,383,Victor Oladipo,SG,1
384,384,Cameron Oliver,SF,3
385,385,Kelly Olynyk,C-PF,1
386,386,Miye Oni,SG,1
387,387,Cedi Osman,SF,1
388,388,Daniel Oturu,C,3
389,389,Kelly Oubre Jr.,SF,1
390,390,Jabari Parker,PF,3
391,391,Eric Paschall,PF,1
392,392,Anžejs Pasečņiks,C,2
393,393,Patrick Patterson,PF,1
394,394,Justin Patton,C,1
395,395,Chris Paul,PG,0
396,396,Cameron Payne,PG,1
397,397,Elfrid Payton,PG,1
398,398,Gary Payton II,PG,3
399,399,Norvel Pelle,C,3
400,400,Reggie Perry,PF,3
401,401,Theo Pinson,SG,2
402,402,Mason Plumlee,C,3
403,403,Jakob Poeltl,C,3
404,404,Vincent Poirier,C,3
405,405,Aleksej Pokusevski,PF,1
406,406,Jordan Poole,SG,1
407,407,Jontay Porter,PF,1
408,408,Kevin Porter Jr.,SG,1
409,409,Michael Porter Jr.,SF,0
410,410,Otto Porter Jr.,SF-PF,1
411,411,Bobby Portis,C,3
412,412,Kristaps Porziņģis,C,0
413,413,Dwight Powell,C,3
414,414,Norman Powell,SG-SF,1
415,415,Taurean Prince,PF,1
416,416,Payton Pritchard,SG,1
417,417,Immanuel Quickley,PG,1
418,418,Jahmi'us Ramsey,SG,1
419,419,Chasson Randle,PG,1
420,420,Julius Randle,PF,0
421,421,Cam Reddish,SF,1
422,422,J.J. Redick,SG,1
423,423,Paul Reed,PF,3
424,424,Naz Reid,C,3
425,425,Cameron Reynolds,SF,1
426,426,Nick Richards,PF,1
427,427,Josh Richardson,SG,1
428,428,Grant Riller,PG,1
429,429,Austin Rivers,SG,1
430,430,Andre Roberson,SG,1
431,431,Duncan Robinson,SF,1
432,432,Glenn Robinson III,SF,1
433,433,Jerome Robinson,SG,1
434,434,Justin Robinson,PG,1
435,435,Mitchell Robinson,C,3
436,436,Isaiah Roby,PF,3
437,437,Rajon Rondo,PG,1
438,438,Derrick Rose,PG,0
439,439,Terrence Ross,SG,1
440,440,Terry Rozier,SG,1
441,441,Ricky Rubio,PG,1
442,442,D'Angelo Russell,PG,0
443,443,Domantas Sabonis,PF,0
444,444,Luka Šamanić,PF,1
445,445,JaKarr Sampson,PF,3
446,446,Dario Šarić,C,1
447,447,Tomáš Satoranský,SG,1
448,448,Dennis Schröder,SG,1
449,449,Mike Scott,PF,1
450,450,Jay Scrubb,SG,1
451,451,Collin Sexton,SG,0
452,452,Landry Shamet,SG,1
453,453,Iman Shumpert,SG,1
454,454,Pascal Siakam,PF,0
455,455,Chris Silva,PF,3
456,456,Ben Simmons,PG,0
457,457,Anfernee Simons,SG,1
458,458,Deividas Sirvydis,SG,1
459,459,Alen Smailagić,PF,1
460,460,Marcus Smart,PG,1
461,461,Dennis Smith Jr.,PG,1
462,462,Ish Smith,PG,1
463,463,Jalen Smith,PF,1
464,464,Tony Snell,SG,1
465,465,Ray Spalding,C,3
466,466,Cassius Stanley,SG,1
467,467,Lamar Stevens,PF,1
468,468,Isaiah Stewart,C,3
469,469,Max Strus,SF,1
470,470,Edmond Sumner,SG,1
471,471,Jae'Sean Tate,SF,1
472,472,Jayson Tatum,SF,0
473,473,Jeff Teague,PG,1
474,474,Garrett Temple,SG,1
475,475,Tyrell Terry,PG,1
476,476,Daniel Theis,C,3
477,477,Brodric Thomas,SG,1
478,478,Isaiah Thomas,PG,1
479,479,Khyri Thomas,SG,1
480,480,Matt Thomas,SG,1
481,481,Tristan Thompson,PF,3
482,482,Sindarius Thornwell,SG,1
483,483,Matisse Thybulle,SG,1
484,484,Killian Tillie,C,1
485,485,Xavier Tillman Sr.,PF,3
486,486,Anthony Tolliver,PF,1
487,487,Obi Toppin,PF,1
488,488,Juan Toscano-Anderson,SG,1
489,489,Axel Toupane,SF,1
490,490,Karl-Anthony Towns,C,0
491,491,Gary Trent Jr.,SG,1
492,492,P.J. Tucker,PF,1
493,493,Rayjon Tucker,PG,1
494,494,Myles Turner,C,3
495,495,Jonas Valančiūnas,C,3
496,496,Denzel Valentine,SG,1
497,497,Jarred Vanderbilt,PF,3
498,498,Fred VanVleet,SG,1
499,499,Anderson Varejão,C,3
500,500,Devin Vassell,SF,1
501,501,Gabe Vincent,PG,1
502,502,Noah Vonleh,PF,2
503,503,Nikola Vučević,C,0
504,504,Dean Wade,PF,1
505,505,Moritz Wagner,C,1
506,506,Kemba Walker,PG,1
507,507,Lonnie Walker IV,SG,1
508,508,John Wall,PG,0
509,509,Brad Wanamaker,PG,1
510,510,T.J. Warren,SF,1
511,511,P.J. Washington,PF,1
512,512,Yuta Watanabe,SF,1
513,513,Tremont Waters,PG,1
514,514,Paul Watson,SF,1
515,515,Quinndary Weatherspoon,SG,1
516,516,Russell Westbrook,PG,0
517,517,Coby White,PG,1
518,518,Derrick White,SG,1
519,519,Hassan Whiteside,C,3
520,520,Greg Whittington,PF,2
521,521,Andrew Wiggins,PF,1
522,522,Grant Williams,PF,1
523,523,Kenrich Williams,PF,1
524,524,Lou Williams,PG,1
525,525,Patrick Williams,PF,1
526,526,Robert Williams,C,3
527,527,Zion Williamson,PF,0
528,528,D.J. Wilson,PF,1
529,529,Dylan Windler,SF,1
530,530,Justise Winslow,SF,1
531,531,Cassius Winston,PG,1
532,532,James Wiseman,C,3
533,533,Christian Wood,C,0
534,534,Robert Woodard II,SF,3
535,535,Delon Wright,SG-PG,1
536,536,Thaddeus Young,PF,0
537,537,Trae Young,PG,0
538,538,Cody Zeller,C,3
539,539,Ivica Zubac,C,3
